Name,City,Latitude,Longitude,Group,Value
Deerhaven Generating Station,Gainesville,29.7592,-82.3878,Natural_gas,185.0
John R Kelly,Gainesville,29.6461,-82.3208,Natural_gas,108.0
G W Ivey,Homestead,25.4756,-80.47,Natural_gas,32.6
J D Kennedy,Jacksonville,30.364818,-81.625967,Natural_gas,317.2
Northside Generating Station,Jacksonville,30.4172,-81.5525,Natural_gas,524.0
Tom G Smith,Lake Worth,26.612766999999998,-80.0677,Natural_gas,57.5
Larsen Memorial,Lakeland,28.0797,-81.9228,Natural_gas,124.0
C D McIntosh Jr,Lakeland,28.0801,-81.9229,Natural_gas,460.0
Indian River Plant,Titusville,28.493232,-80.780124,Natural_gas,290.0
Arvah B Hopkins,Tallahassee,30.4522,-84.4,Natural_gas,466.0
S O Purdom,St Marks,30.162304,-84.200673,Natural_gas,226.0
Jack McDonough,Smyrna,33.8239,-84.4758,Natural_gas,2534.0
Yates,Newnan,33.4622,-84.8986,Natural_gas,714.0
Crisp Plant,Warwick,31.844708,-83.94073399999999,Natural_gas,14.0
Ponca,Ponca City,36.71979,-97.085758,Natural_gas,34.0
Grand Tower Energy Center LLC,Grand Tower,37.6577,-89.511161,Natural_gas,511.0
Joliet 9,Joliet,41.4931,-88.1153,Natural_gas,314.0
Moline,Moline,41.509959,-90.534021,Natural_gas,64.0
Venice,Venice,38.6642,-90.1764,Natural_gas,487.0
Farmer City,Farmer City,40.246109999999994,-88.638761,Natural_gas,4.1
Geneseo,Geneseo,41.451494,-90.148547,Natural_gas,19.5
Princeton (IL),Princeton,41.375528,-89.464872,Natural_gas,37.7
